Dance Style,American BPM Range,International BPM Range,Overall BPM Range
Waltz,84–90,84–90,84–90
Tango,120–132,124–132,120–132
Viennese Waltz,162–180,162–180,162–180
Foxtrot (Slow),128–136,112–120,112–136
Quickstep,200–208,200–208,200–208
Cha-Cha,120,120–128,120–128
Rumba,120–128,100–108,100–128
Jive,—,168–176,168–176
East Coast Swing,136–144,—,136–144
Bolero,72–78,—,72–78
Mambo,192–200,—,192–200
Peabody,240–248,—,240–248
Merengue,232–240,—,232–240
Paso Doble,116–120,116–120,116–120
Samba,192–200,200–208,192–208
West Coast Swing,128–136,—,128–136
Hustle,112–120,—,112–120
