Title	Artist	Tempo	Dance	DanceTags
God, Your Mama, and Me	Florida Georgia Line w/ Backstreet Boys	84	TTW	Classic:Style|Country:Style
She Ain't In It	Jon Pardi	83	TTW	Classic:Style|Country:Style
Leavin' The Light On	Darius Rucker	84	TTW	Classic:Style|Country:Style
You're My Favorite	Jason Jones	60	NC2	Classic:Style|Country:Style
Home	Blake Shelton	60	NC2	Classic:Style|Country:Style
Someday	Vince Gill	60	NC2	Classic:Style|Country:Style
This One's For You	Jennifer Nettles	60	NC2	Classic:Style|Country:Style
Sunrise Tells the Story	Midland	88	SWZ	Classic:Style|Country:Style
Frame of Mine	Blake Shelton	88	SWZ	Classic:Style|Country:Style
I Don't Want This Song to End	John Michael Montgomery	88	SWZ	Classic:Style|Country:Style
Bar Friends	Restless Road	107	PLK	Classic:Style|Country:Style
Steal Me Away	Olivia Lane	112	PLK	Classic:Style|Country:Style
Friends	Blake Shelton	112	PLK	Classic:Style|Country:Style
Drinkin' Problem	Midland	103	CHA	Classic:Style|Country:Style
Country Never Goes Out of Style	Shane Owens	104	CHA	Classic:Style|Country:Style
Did It For The Girl	Greg Bates	104	CHA	Classic:Style|Country:Style
Why Don't We Just Dance	Josh Turner	129	ECS	Classic:Style|Country:Style
Why Wait	Rascal Flatts	128	ECS	Classic:Style|Country:Style
I Was On a Boat That Day	Old Dominion	129	ECS	Classic:Style|Country:Style
Good Day for Living	Joe Nichols	168	C2S	Classic:Style|Country:Style
Same Boat	Zac Brown Band	170	C2S	Classic:Style|Country:Style
Corn	Blake Shelton	174	C2S	Classic:Style|Country:Style
Church Boots	Thomas Rhett	100	WCS	Classic:Style|Country:Style
Sunshine and Whiskey	Frankie Ballard	100	WCS	Classic:Style|Country:Style
Party Girl	Craig Morgan	100	WCS	Classic:Style|Country:Style
